action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,72003,[],CHEMBL679321,Binding affinity towards human estrogen receptor alpha,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc2c(c1)S[C@H](C1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,,,CHEMBL1146734,Bioorg Med Chem Lett,2004.0,"{'bei': '19.57', 'le': '0.38', 'lle': '2.56', 'sei': '20.52'}",CHEMBL431611,,CHEMBL431611,8.60,0,http://www.openphacts.org/units/Nanomolar,154447,=,1,1,=,,IC50,nM,,2.5,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,IC50,nM,UO_0000065,,2.5
,,74062,[],CHEMBL679321,Binding affinity towards human estrogen receptor alpha,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc2c(c1)S[C@H](C1CCCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,,,CHEMBL1146734,Bioorg Med Chem Lett,2004.0,"{'bei': '17.37', 'le': '0.34', 'lle': '1.30', 'sei': '19.38'}",CHEMBL316132,,CHEMBL316132,8.12,0,http://www.openphacts.org/units/Nanomolar,154445,=,1,1,=,,IC50,nM,,7.5,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,IC50,nM,UO_0000065,,7.5
,,76289,[],CHEMBL679321,Binding affinity towards human estrogen receptor alpha,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,,,CHEMBL1146734,Bioorg Med Chem Lett,2004.0,"{'bei': '18.35', 'le': '0.35', 'lle': '2.58', 'sei': '13.69'}",CHEMBL304552,,CHEMBL304552,8.51,0,http://www.openphacts.org/units/Nanomolar,154440,=,1,1,=,,IC50,nM,,3.1,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,IC50,nM,UO_0000065,,3.1
,,77402,[],CHEMBL679321,Binding affinity towards human estrogen receptor alpha,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc2c(c1)S[C@H](CC1CCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,,,CHEMBL1146734,Bioorg Med Chem Lett,2004.0,"{'bei': '17.98', 'le': '0.35', 'lle': '1.59', 'sei': '20.05'}",CHEMBL85881,,CHEMBL85881,8.41,0,http://www.openphacts.org/units/Nanomolar,154443,=,1,1,=,,IC50,nM,,3.9,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,IC50,nM,UO_0000065,,3.9
,,78475,[],CHEMBL679321,Binding affinity towards human estrogen receptor alpha,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc2c(c1)S[C@H](Cc1ccccc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,,,CHEMBL1146734,Bioorg Med Chem Lett,2004.0,"{'bei': '17.61', 'le': '0.34', 'lle': '2.04', 'sei': '19.39'}",CHEMBL85536,,CHEMBL85536,8.13,0,http://www.openphacts.org/units/Nanomolar,154451,=,1,1,=,,IC50,nM,,7.4,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,IC50,nM,UO_0000065,,7.4
,,79564,[],CHEMBL679321,Binding affinity towards human estrogen receptor alpha,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc2c(c1)S[C@H](c1ccncc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,,,CHEMBL1146734,Bioorg Med Chem Lett,2004.0,"{'bei': '14.07', 'le': '0.27', 'lle': '0.69', 'sei': '11.51'}",CHEMBL83451,,CHEMBL83451,6.31,0,http://www.openphacts.org/units/Nanomolar,154452,=,1,1,=,,IC50,nM,,490.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,IC50,nM,UO_0000065,,490.0
,,80685,[],CHEMBL679322,Binding affinity for estrogen receptor alpha,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccc(OCCN4CCCCC4)cc2C3)cc1,,,CHEMBL1147609,Bioorg Med Chem Lett,2004.0,"{'bei': '19.84', 'le': '0.36', 'lle': '3.45', 'sei': '17.00'}",CHEMBL267385,,CHEMBL267385,9.00,1,http://www.openphacts.org/units/Nanomolar,36897,=,1,1,=,,IC50,nM,,1.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,IC50,nM,UO_0000065,,1.0
,,83998,[],CHEMBL679321,Binding affinity towards human estrogen receptor alpha,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc2c(c1)S[C@H](c1ccco1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,,,CHEMBL1146734,Bioorg Med Chem Lett,2004.0,"{'bei': '17.04', 'le': '0.33', 'lle': '1.64', 'sei': '13.54'}",CHEMBL315761,,CHEMBL315761,7.46,0,http://www.openphacts.org/units/Nanomolar,154450,=,1,1,=,,IC50,nM,,35.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,IC50,nM,UO_0000065,,35.0
,,84949,[],CHEMBL679322,Binding affinity for estrogen receptor alpha,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccccc2C3)cc1,,,CHEMBL1147609,Bioorg Med Chem Lett,2004.0,"{'bei': '25.63', 'le': '0.46', 'lle': '3.68', 'sei': '20.68'}",CHEMBL281499,,CHEMBL281499,8.37,1,http://www.openphacts.org/units/Nanomolar,36898,=,1,1,=,,IC50,nM,,4.3,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,IC50,nM,UO_0000065,,4.3
,,85944,[],CHEMBL679322,Binding affinity for estrogen receptor alpha,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1c2ccccc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12,,,CHEMBL1147609,Bioorg Med Chem Lett,2004.0,"{'bei': '19.87', 'le': '0.36', 'lle': '3.07', 'sei': '9.44'}",CHEMBL25228,,CHEMBL25228,7.04,0,http://www.openphacts.org/units/Nanomolar,36901,=,1,1,=,,IC50,nM,,91.0,CHEMBL206,Homo sapiens,Estrogen receptor alpha,9606,,,IC50,nM,UO_0000065,,91.0
